,loss
step_120,0.04574863240122795
step_121,0.04336775094270706
step_122,0.0368884913623333
step_123,0.03746134787797928
step_124,0.039596255868673325
step_125,0.03766896575689316
step_126,0.035286836326122284
step_127,0.03961940482258797
step_128,0.036515746265649796
step_129,0.033398598432540894
step_130,0.032144948840141296
step_131,0.03188721090555191
step_132,0.03213922306895256
step_133,0.03602389991283417
step_134,0.03437037020921707
step_135,0.03243134170770645
step_136,0.032250888645648956
step_137,0.03084026835858822
step_138,0.030568253248929977
step_139,0.03180377930402756
step_140,0.0468374565243721
step_141,0.041096508502960205
step_142,0.03515210375189781
step_143,0.03372042626142502
step_144,0.03127957880496979
step_145,0.02983553521335125
step_146,0.028483254835009575
step_147,0.02758672833442688
step_148,0.028008511289954185
step_149,0.033125072717666626
step_150,0.04468872398138046
step_151,0.05725022405385971
step_152,0.044516853988170624
step_153,0.07062114030122757
step_154,0.052166469395160675
step_155,0.03490187227725983
step_156,0.03730546310544014
step_157,0.030932387337088585
step_158,0.02957603894174099
step_159,0.03167218342423439
step_160,0.035244494676589966
step_161,0.03327418863773346
step_162,0.028761297464370728
step_163,0.027548974379897118
step_164,0.02665194869041443
step_165,0.025854356586933136
step_166,0.025265295058488846
step_167,0.025052500888705254
step_168,0.028467020019888878
step_169,0.03794676810503006
step_170,0.03351569175720215
step_171,0.029981425032019615
step_172,0.028255408629775047
step_173,0.026756485924124718
step_174,0.025014877319335938
step_175,0.024217378348112106
step_176,0.024859998375177383
step_177,0.02751411497592926
step_178,0.02696639858186245
step_179,0.028535541146993637
step_180,0.026044784113764763
step_181,0.024585183709859848
step_182,0.02395528182387352
step_183,0.025018690153956413
step_184,0.026734814047813416
step_185,0.030652746558189392
step_186,0.027519099414348602
step_187,0.026552965864539146
step_188,0.023642420768737793
step_189,0.02246466651558876
step_190,0.022094815969467163
step_191,0.024421585723757744
step_192,0.030757632106542587
step_193,0.025850962847471237
step_194,0.02512533962726593
step_195,0.02247980795800686
step_196,0.021560830995440483
step_197,0.021808914840221405
step_198,0.026184841990470886
step_199,0.030841533094644547
step_200,0.026378434151411057
step_201,0.024730432778596878
step_202,0.02342124842107296
step_203,0.02156386524438858
step_204,0.021100036799907684
step_205,0.022725312039256096
step_206,0.02482660673558712
step_207,0.023287799209356308
step_208,0.023089464753866196
step_209,0.021181359887123108
step_210,0.020067229866981506
step_211,0.019706223160028458
step_212,0.020047124475240707
step_213,0.02176407352089882
step_214,0.022174295037984848
step_215,0.023396393284201622
step_216,0.02018284797668457
step_217,0.020397059619426727
step_218,0.01942044496536255
step_219,0.019986269995570183
step_220,0.0199061781167984
step_221,0.020999830216169357
step_222,0.021270951256155968
step_223,0.018999693915247917
step_224,0.01972968503832817
step_225,0.01873260736465454
step_226,0.01810886710882187
step_227,0.018341120332479477
step_228,0.020288273692131042
step_229,0.020686795935034752
step_230,0.021341048181056976
step_231,0.019931204617023468
step_232,0.018690839409828186
step_233,0.018890392035245895
step_234,0.02001621574163437
step_235,0.019635263830423355
step_236,0.018363213166594505
step_237,0.01634880341589451
step_238,0.015571201220154762
step_239,0.016035618260502815
step_240,0.017737729474902153
step_241,0.01734946295619011
step_242,0.018367916345596313
step_243,0.018034566193819046
step_244,0.01878286898136139
step_245,0.019880184903740883
step_246,0.02008967474102974
step_247,0.01678435504436493
step_248,0.01654883846640587
step_249,0.01794969104230404
step_250,0.02125447988510132
step_251,0.021436696872115135
step_252,0.016886748373508453
step_253,0.01636088266968727
step_254,0.01602095365524292
step_255,0.015140548348426819
step_256,0.015372644178569317
step_257,0.015731345862150192
step_258,0.01620408706367016
step_259,0.014792244881391525
step_260,0.014704504981637001
step_261,0.01821591518819332
step_262,0.02131442353129387
step_263,0.017228221520781517
step_264,0.017306603491306305
step_265,0.015673495829105377
step_266,0.0149696571752429
step_267,0.014966756105422974
step_268,0.014871394261717796
step_269,0.014310422353446484
step_270,0.01441967487335205
step_271,0.01462934073060751
step_272,0.01534259133040905
step_273,0.016351494938135147
step_274,0.015538079664111137
step_275,0.01576843485236168
step_276,0.015754707157611847
step_277,0.014009355567395687
step_278,0.01637965999543667
step_279,0.01625479757785797
step_280,0.015516594052314758
step_281,0.014180793426930904
step_282,0.013100462965667248
step_283,0.012267190031707287
step_284,0.012456400319933891
